X1,X2,X3,X4,X5,X6,y
240.626,1,GBCA,aorta,26201,3.100,NA
327.352,1,GBCA,aorta,26608,2.900,NA
369.816,1,GBCA,aorta,26599,3.220,NA
294.565,1,GBCA,aorta,26285,2.700,NA
130.823,1,GBCA,aorta,26684,3.520,NA
235.7028324,1,GBCA,aorta,26375,3.230,NA
76.982,2,GBCA,aorta,26201,3.100,NA
63.586,2,GBCA,aorta,26608,2.900,NA
66.548,2,GBCA,aorta,26599,3.220,NA
72.154,2,GBCA,aorta,26285,2.700,NA
86.393,2,GBCA,aorta,26684,3.520,NA
63.29630123,2,GBCA,aorta,26375,3.230,NA
74.698,3,GBCA,aorta,26201,3.100,NA
62.344,3,GBCA,aorta,26608,2.900,NA
79.314,3,GBCA,aorta,26599,3.220,NA
72.014,3,GBCA,aorta,26285,2.700,NA
84.547,3,GBCA,aorta,26684,3.520,NA
62.8401866,3,GBCA,aorta,26375,3.230,NA
66.859,4,GBCA,aorta,26201,3.100,NA
55.532,4,GBCA,aorta,26608,2.900,NA
69.034,4,GBCA,aorta,26599,3.220,NA
62.111,4,GBCA,aorta,26285,2.700,NA
72.400,4,GBCA,aorta,26684,3.520,NA
55.73875375,4,GBCA,aorta,26375,3.230,NA
58.149,5,GBCA,aorta,26201,3.100,NA
NA,5,GBCA,aorta,26608,2.900,NA
61.753,5,GBCA,aorta,26599,3.220,NA
55.252,5,GBCA,aorta,26285,2.700,NA
63.000,5,GBCA,aorta,26684,3.520,NA
48.35721426,5,GBCA,aorta,26375,3.230,NA
67.996,1,GBCA,vena cava,26201,3.100,NA
58.386,1,GBCA,vena cava,26608,2.900,NA
51.264,1,GBCA,vena cava,26599,3.220,NA
47.454,1,GBCA,vena cava,26285,2.700,NA
38.455,1,GBCA,vena cava,26684,3.520,NA
25.657,1,GBCA,vena cava,26375,3.230,NA
87.564,2,GBCA,vena cava,26201,3.100,NA
65.027,2,GBCA,vena cava,26608,2.900,NA
75.982,2,GBCA,vena cava,26599,3.220,NA
73.569,2,GBCA,vena cava,26285,2.700,NA
86.049,2,GBCA,vena cava,26684,3.520,NA
57.061,2,GBCA,vena cava,26375,3.230,NA
79.118,3,GBCA,vena cava,26201,3.100,NA
63.671,3,GBCA,vena cava,26608,2.900,NA
72.865,3,GBCA,vena cava,26599,3.220,NA
73.553,3,GBCA,vena cava,26285,2.700,NA
82.524,3,GBCA,vena cava,26684,3.520,NA
52.542,3,GBCA,vena cava,26375,3.230,NA
72.459,4,GBCA,vena cava,26201,3.100,NA
57.912,4,GBCA,vena cava,26608,2.900,NA
67.257,4,GBCA,vena cava,26599,3.220,NA
67.503,4,GBCA,vena cava,26285,2.700,NA
72.080,4,GBCA,vena cava,26684,3.520,NA
41.873,4,GBCA,vena cava,26375,3.230,NA
57.425,5,GBCA,vena cava,26201,3.100,NA
NA,5,GBCA,vena cava,26608,2.900,NA
56.128,5,GBCA,vena cava,26599,3.220,NA
57.124,5,GBCA,vena cava,26285,2.700,NA
56.360,5,GBCA,vena cava,26684,3.520,NA
38.693,5,GBCA,vena cava,26375,3.230,NA
128.983,1,AGUIX,aorta,26201,3.100,1.193196004
260.123,1,AGUIX,aorta,26608,2.900,5.742070244
416.310,1,AGUIX,aorta,26599,3.220,7.90866055
405.124,1,AGUIX,aorta,26285,2.700,8.156186913
NA,1,AGUIX,aorta,26684,3.520,NA
254.205,1,AGUIX,aorta,26375,3.230,4.744612295
81.926,2,AGUIX,aorta,26201,3.100,0.434039591
89.220,2,AGUIX,aorta,26608,2.900,0.663172292
87.853,2,AGUIX,aorta,26599,3.220,0.789430672
108.470,2,AGUIX,aorta,26285,2.700,0.888575599
97.251,2,AGUIX,aorta,26684,3.520,0.548079577
97.228,2,AGUIX,aorta,26375,3.230,0.594022196
75.253,3,AGUIX,aorta,26201,3.100,0.344385469
86.722,3,AGUIX,aorta,26608,2.900,0.63406574
86.847,3,AGUIX,aorta,26599,3.220,0.765553787
