X1,X2,X3,X4,X5,X6,y
240.626,1,GBCA,aorta,26201,3.1,4.623593911
327.352,1,GBCA,aorta,26608,2.9,6.835321335
369.816,1,GBCA,aorta,26599,3.22,7.918258325
294.565,1,GBCA,aorta,26285,2.7,5.999171771
130.823,1,GBCA,aorta,26684,3.52,1.823345929
235.7028324,1,GBCA,aorta,26375,3.23,4.498040965
76.982,2,GBCA,aorta,26201,3.1,0.450267311
63.586,2,GBCA,aorta,26608,2.9,0.10863619
66.548,2,GBCA,aorta,26599,3.22,0.184174513
72.154,2,GBCA,aorta,26285,2.7,0.327141374
86.393,2,GBCA,aorta,26684,3.52,0.690271079
63.29630123,2,GBCA,aorta,26375,3.23,0.101248155
74.698,3,GBCA,aorta,26201,3.1,0.392019664
62.344,3,GBCA,aorta,26608,2.9,0.076962119
79.314,3,GBCA,aorta,26599,3.22,0.509739077
72.014,3,GBCA,aorta,26285,2.7,0.323571028
84.547,3,GBCA,aorta,26684,3.52,0.643193515
62.8401866,3,GBCA,aorta,26375,3.23,0.089616104
66.859,4,GBCA,aorta,26201,3.1,0.192105782
55.532,4,GBCA,aorta,26608,2.9,-0.096760723
69.034,4,GBCA,aorta,26599,3.22,0.24757366
62.111,4,GBCA,aorta,26285,2.7,0.071020043
72.4,4,GBCA,aorta,26684,3.52,0.333414982
55.73875375,4,GBCA,aorta,26375,3.23,-0.091487991
58.149,5,GBCA,aorta,26201,3.1,-0.030020753
61.753,5,GBCA,aorta,26599,3.22,0.061890158
55.252,5,GBCA,aorta,26285,2.7,-0.103901415
63,5,GBCA,aorta,26684,3.52,0.093691741
48.35721426,5,GBCA,aorta,26375,3.23,-0.279735499
67.996,1,GBCA,vena cava,26201,3.1,0.260759324
58.386,1,GBCA,vena cava,26608,2.9,0.113532388
51.264,1,GBCA,vena cava,26599,3.22,0.004422061
47.454,1,GBCA,vena cava,26285,2.7,-0.053947827
38.455,1,GBCA,vena cava,26684,3.52,-0.191814133
25.657,1,GBCA,vena cava,26375,3.23,-0.387881805
87.564,2,GBCA,vena cava,26201,3.1,0.560544619
65.027,2,GBCA,vena cava,26608,2.9,0.215273708
75.982,2,GBCA,vena cava,26599,3.22,0.383106287
73.569,2,GBCA,vena cava,26285,2.7,0.346138691
86.049,2,GBCA,vena cava,26684,3.52,0.537334546
57.061,2,GBCA,vena cava,26375,3.23,0.093233148
79.118,3,GBCA,vena cava,26201,3.1,0.431150373
63.671,3,GBCA,vena cava,26608,2.9,0.194499543
72.865,3,GBCA,vena cava,26599,3.22,0.335353284
73.553,3,GBCA,vena cava,26285,2.7,0.345893568
82.524,3,GBCA,vena cava,26684,3.52,0.483330909
52.542,3,GBCA,vena cava,26375,3.23,0.024001252
72.459,4,GBCA,vena cava,26201,3.1,0.32913329
57.912,4,GBCA,vena cava,26608,2.9,0.106270622
67.257,4,GBCA,vena cava,26599,3.22,0.24943771
67.503,4,GBCA,vena cava,26285,2.7,0.253206475
72.08,4,GBCA,vena cava,26684,3.52,0.323326942
41.873,4,GBCA,vena cava,26375,3.23,-0.139449756
57.425,5,GBCA,vena cava,26201,3.1,0.098809694
56.128,5,GBCA,vena cava,26599,3.22,0.07893942
57.124,5,GBCA,vena cava,26285,2.7,0.09419832
56.36,5,GBCA,vena cava,26684,3.52,0.082493702
38.693,5,GBCA,vena cava,26375,3.23,-0.18816793
128.983,1,AGUIX,aorta,26201,3.1,1.193196004
260.123,1,AGUIX,aorta,26608,2.9,5.742070244
416.31,1,AGUIX,aorta,26599,3.22,7.90866055
405.124,1,AGUIX,aorta,26285,2.7,8.156186913
254.205,1,AGUIX,aorta,26375,3.23,4.744612295
81.926,2,AGUIX,aorta,26201,3.1,0.434039591
89.22,2,AGUIX,aorta,26608,2.9,0.663172292
87.853,2,AGUIX,aorta,26599,3.22,0.789430672
108.47,2,AGUIX,aorta,26285,2.7,0.888575599
97.251,2,AGUIX,aorta,26684,3.52,0.548079577
97.228,2,AGUIX,aorta,26375,3.23,0.594022196
75.253,3,AGUIX,aorta,26201,3.1,0.344385469
86.722,3,AGUIX,aorta,26608,2.9,0.63406574
86.847,3,AGUIX,aorta,26599,3.22,0.765553787
98.695,3,AGUIX,aorta,26285,2.7,0.685446896
87.439,3,AGUIX,aorta,26684,3.52,0.354026346
96.912,3,AGUIX,aorta,26375,3.23,0.574565357
70.055,4,AGUIX,aorta,26201,3.1,0.277300413
74.527,4,AGUIX,aorta,26608,2.9,0.470359585
75.5,4,AGUIX,aorta,26599,3.22,0.468507316
85.248,4,AGUIX,aorta,26285,2.7,0.412174809
77.672,4,AGUIX,aorta,26684,3.52,0.181794068
82.978,4,AGUIX,aorta,26375,3.23,0.356103178
58.229,5,AGUIX,aorta,26201,3.1,0.110713509
62.618,5,AGUIX,aorta,26608,2.9,0.308773439
66.179,5,AGUIX,aorta,26599,3.22,0.338779471
73.575,5,AGUIX,aorta,26285,2.7,0.261174551
69.372,5,AGUIX,aorta,26684,3.52,0.081077157
67.171,5,AGUIX,aorta,26375,3.23,0.117367524
57.41,1,AGUIX,vena cava,26201,3.1,0.114269239
53.798,1,AGUIX,vena cava,26608,2.9,0.35306714
50.551,1,AGUIX,vena cava,26599,3.22,0.264918682
102.11,1,AGUIX,vena cava,26285,2.7,0.49267074
75.469,1,AGUIX,vena cava,26375,3.23,0.12759452
86.269,2,AGUIX,vena cava,26201,3.1,0.450644608
91.745,2,AGUIX,vena cava,26608,2.9,0.699743271
98.3,2,AGUIX,vena cava,26599,3.22,0.829737947
111.396,2,AGUIX,vena cava,26285,2.7,0.823141327
107.219,2,AGUIX,vena cava,26684,3.52,0.595598231
99.392,2,AGUIX,vena cava,26375,3.23,0.499640002
80.87,3,AGUIX,vena cava,26201,3.1,0.380547814
88.495,3,AGUIX,vena cava,26608,2.9,0.628144336
95.324,3,AGUIX,vena cava,26599,3.22,0.795065875
103.475,3,AGUIX,vena cava,26285,2.7,0.756038186
84.985,3,AGUIX,vena cava,26684,3.52,0.307261841
96.961,3,AGUIX,vena cava,26375,3.23,0.439087951
73.823,4,AGUIX,vena cava,26201,3.1,0.276568957
79.752,4,AGUIX,vena cava,26608,2.9,0.50971192
87.767,4,AGUIX,vena cava,26599,3.22,0.543839583
88.127,4,AGUIX,vena cava,26285,2.7,0.507741727
77.904,4,AGUIX,vena cava,26684,3.52,0.236382566
87.902,4,AGUIX,vena cava,26375,3.23,0.331450842
58.906,5,AGUIX,vena cava,26201,3.1,0.10811835
62.33,5,AGUIX,vena cava,26608,2.9,0.285817214
75.513,5,AGUIX,vena cava,26599,3.22,0.362961247
74.291,5,AGUIX,vena cava,26285,2.7,0.275163517
67.335,5,AGUIX,vena cava,26684,3.52,0.098161614
67.933,5,AGUIX,vena cava,26375,3.23,0.078347061
-12.787,1,GBCA,left cortex,26201,3.1,-1.5149841
163.17,1,GBCA,left cortex,26608,2.9,1.771847914
89.865,1,GBCA,left cortex,26599,3.22,0.402529156
77.363,1,GBCA,left cortex,26285,2.7,0.168994975
91.217,1,GBCA,left cortex,26684,3.52,0.427784172
62.623,1,GBCA,left cortex,26375,3.23,-0.106344477
139.303,2,GBCA,left cortex,26201,3.1,1.326018424
100.917,2,GBCA,left cortex,26608,2.9,0.608977705
10.891,2,GBCA,left cortex,26599,3.22,-1.072685081
116.171,2,GBCA,left cortex,26285,2.7,0.893918546
112.198,2,GBCA,left cortex,26684,3.52,0.819703916
94.109,2,GBCA,left cortex,26375,3.23,0.481805997
108.886,3,GBCA,left cortex,26201,3.1,0.757836599
93.582,3,GBCA,left cortex,26608,2.9,0.471961771
135.587,3,GBCA,left cortex,26599,3.22,1.256604489
112.519,3,GBCA,left cortex,26285,2.7,0.825700115
105.11,3,GBCA,left cortex,26684,3.52,0.687301879
82.15,3,GBCA,left cortex,26375,3.23,0.258414918
105.893,4,GBCA,left cortex,26201,3.1,0.70192812
79.536,4,GBCA,left cortex,26608,2.9,0.209586062
98.236,4,GBCA,left cortex,26599,3.22,0.558897307
96.522,4,GBCA,left cortex,26285,2.7,0.526880223
92.597,4,GBCA,left cortex,26684,3.52,0.453562221
86.226,4,GBCA,left cortex,26375,3.23,0.334553561
81.703,5,GBCA,left cortex,26201,3.1,0.250065071
78.625,5,GBCA,left cortex,26599,3.22,0.192568814
70.756,5,GBCA,left cortex,26285,2.7,0.045577895
75.016,5,GBCA,left cortex,26684,3.52,0.125153612
80.549,5,GBCA,left cortex,26375,3.23,0.228508645
106.614,1,AGUIX,left cortex,26201,3.1,0.5867238
149.926,1,AGUIX,left cortex,26608,2.9,1.253004
127.79,1,AGUIX,left cortex,26599,3.22,0.7871528
106.707,1,AGUIX,left cortex,26285,2.7,0.602963
142.284,1,AGUIX,left cortex,26375,3.23,1.116991
105.348,2,AGUIX,left cortex,26201,3.1,0.4430499
118.403,2,AGUIX,left cortex,26608,2.9,0.7031825
129.814,2,AGUIX,left cortex,26599,3.22,1.086333
117.801,2,AGUIX,left cortex,26285,2.7,0.7248371
177.531,2,AGUIX,left cortex,26684,3.52,1.853962
107.566,2,AGUIX,left cortex,26375,3.23,0.6617585
100.14,3,AGUIX,left cortex,26201,3.1,0.5848485
118.702,3,AGUIX,left cortex,26608,2.9,0.7982839
156.926,3,AGUIX,left cortex,26599,3.22,1.453242
117.181,3,AGUIX,left cortex,26285,2.7,0.792406
122.664,3,AGUIX,left cortex,26684,3.52,1.067367
106.312,3,AGUIX,left cortex,26375,3.23,0.6934646
111.796,4,AGUIX,left cortex,26201,3.1,0.5931769
122.822,4,AGUIX,left cortex,26608,2.9,0.8285179
158.988,4,AGUIX,left cortex,26599,3.22,1.559394
126.952,4,AGUIX,left cortex,26285,2.7,1.065038
149.181,4,AGUIX,left cortex,26684,3.52,1.295464
